# 数据由 ./gen-多音字.py 生成;
#
# 格式:
#   三简码 该三简码的所有字 如果一简码首选或二简码是多音字
# 我们直接在该行上修改.


aak 嗄吖
aic 艾蔼
aik 哎唉嗳嗌
anq 氨犴
aof 熬敖獒拗螯鳌鏊骜嶅聱
baa 鲃鲅鲌
baf 拔扒捌
bbm 彬槟
bbw 斌玢
bcb 包鸨刨
bcc 苞葆薄
bch 爆炮
bco 胞暴曝
bcr 保堡煲
bdk 败呗
bdr 佰伯
bfd 奔夯
bhf 邦搒
bhm 棒榜梆棓
bic 蔽荸荜蓖芘苾萆薜
bid 必弊敝泌沘滗濞
bih 秘秕馝
bik 鄙哔吡咇赑
bip 币匕裨
biu 璧臂壁贲襞辟嬖屄
bkm 柄槟
bku 饼屏
bmh 扁煸
bnm 标骠杓骉
boa 僰鲌
boc 薄菠蕃
bod 波泊渤浡
boe 剥嶓
bom 柏驳桲欂
bou 博勃礴饽孛檗擘砵鹁
bov 舶簸箔簿般
bul 卜瓿
but 埔埠埗
buv 步簿
bwk 贝呗
bwm 杯棓椑糒
bwu 碑孛臂碚鐾
chr 仓伧鸧
cib 慈疵鹚兹
cic 茨茈莿
cid 瓷泚粢
cik 赐呲
cir 伺佽
ciy 词差 差:['ciyg', 'ia', 'iayg', 'idy', 'idyg']
cob 痤瘥
cof 措挫搓撮
crf 撺攒
csm 枞骢
cuw 蹙卒
cuy 醋酢
cvw 衰璀
dak 嗒哒
dau 沓鿎
dcf 捣捯焘纛
ddk 呆呔
ddu 戴大 大:['da', 'daun', 'ddun']
dib 弟的 的:['de', 'debu', 'dibu']
dif 抵提
dim 棣柢杕
dit 堤坻
djb 单郸疸瘅
djd 淡殚澹
djf 担掸
djo 胆旦眈膻
dkj 钉锭铤
dnj 钓铞铫
dom 驮柁杕
dpo 䏲昳
dse 峒岽
dug 度髑
dum 杜椟阇
dut 堵顿 顿:['dutr', 'dy', 'dytr']
dvj 镦𬭚
dyk 吨囤
dyw 敦趸
eee 峨阿崿 阿:['aa', 'aae', 'aaek', 'eeek']
eek 鄂呃颚哦鹗𫫇 哦:['eekw', 'oo', 'ookw']
eey 恶讹谔垩
ere 耏陑鸸
fft 坟坋
fgd 冯沣沨浲
fhi 彷蚄
fjc 范藩蕃蘩
fjp 翻繁番𬸪
fub 富父斧匐釜宓
fuc 芙茯苻芾芣茀莩菔
fuk 赋咐呋㕮呒赙
fuo 服腹肤腑脯
fur 付俯伏傅俘佛 佛:['fo', 'for', 'forf', 'furf']
fwc 菲芾
gaa 戛夹
gak 噶咖呷㗎
gao 胳朒
gcj 镐锆
gei 蛤虼
gek 嗝咯嘅
geo 胳膈
ger 颌鸽仡合
geu 硌饹
ghf 缸扛
gkf 拐掴
god 涡𬇹
grc 莞鹳蒄
grs 纶矜
gug 鹘巭
guk 固咕呱
gva 鲑鳜
gvd 龟氿
gvg 庋廆
gvm 桂柜闺桧
gvo 晷炅
gxk 呱剐啩
gzb 勾句雊
gzm 构枸
hdk 嗨嗐咳咍嚡
hek 喝呵吓嗬
hem 核阖阂
her 合盒颌郃龢
hev 貉龁
hgi 衡行鸻 行:['hgii', 'hh', 'hhi', 'hhii', 'xk', 'xkii']
hhd 夯沆
hoh 和㸌 和:['he', 'hehk', 'hoh', 'hohk', 'huhk']
hok 嚯嚄
hrb 寰痪宦郇
hrk 唤圜
hrz 还逭 还:['hd', 'hdzb', 'hrz', 'hrzb']
hud 湖沪浒瓠斛滹冱淴
hug 弧鹘
huh 虎扈和戽烀煳 和:['he', 'hehk', 'hoh', 'hohk', 'huhk']
hum 糊槲核
hvd 汇洄浍
hve 堕翙隳
hvk 回贿喙咴哕
hvm 桧橞
hvw 珲虺豗
iak 嚓喳
iam 查楂杈槎檫𥻗
ich 炒焯
